form,relabel_to,notes
proyecto,gua,frequent lexical item in Guarani-dominant contexts
senador,gua,frequent lexical item in Guarani-dominant contexts
gobierno,gua,frequent lexical item in Guarani-dominant contexts
educación,gua,frequent lexical item in Guarani-dominant contexts
comisión,gua,frequent lexical item in Guarani-dominant contexts
empresa,gua,frequent lexical item in Guarani-dominant contexts
salud,gua,frequent lexical item in Guarani-dominant contexts
ministro,gua,frequent lexical item in Guarani-dominant contexts
distrito,gua,frequent lexical item in Guarani-dominant contexts
partido,gua,frequent lexical item in Guarani-dominant contexts
situación,gua,frequent lexical item in Guarani-dominant contexts
manifestante,gua,frequent lexical item in Guarani-dominant contexts
indígena,gua,frequent lexical item in Guarani-dominant contexts
intendente,gua,frequent lexical item in Guarani-dominant contexts
acuerdo,gua,frequent lexical item in Guarani-dominant contexts
problema,gua,frequent lexical item in Guarani-dominant contexts
movilización,gua,frequent lexical item in Guarani-dominant contexts
proceso,gua,frequent lexical item in Guarani-dominant contexts
campaña,gua,frequent lexical item in Guarani-dominant contexts
nacional,gua,frequent lexical item in Guarani-dominant contexts
presidente,gua,frequent lexical item in Guarani-dominant contexts
ley,gua,frequent lexical item in Guarani-dominant contexts
mundo,gua,frequent lexical item in Guarani-dominant contexts
vida,gua,frequent lexical item in Guarani-dominant contexts
familia,gua,frequent lexical item in Guarani-dominant contexts
día,gua,frequent lexical item in Guarani-dominant contexts
semana,gua,frequent lexical item in Guarani-dominant contexts
miles,gua,frequent lexical item in Guarani-dominant contexts
milones,gua,frequent lexical item in Guarani-dominant contexts
