corpus,deprel,N,mean,sd,median,min,max
Miami,acl,7,3.142857142857143,1.9518001458970664,3.0,1.0,7.0
Miami,acl:relcl,11,3.727272727272727,2.866737137963964,3.0,1.0,9.0
Miami,advcl,36,4.305555555555555,5.434384940592604,3.0,1.0,30.0
Miami,advmod,277,4.324909747292419,4.490230184677635,3.0,1.0,35.0
Miami,amod,105,2.4285714285714284,1.65748386032949,2.0,1.0,11.0
Miami,appos,30,2.2666666666666666,2.935318032858278,1.0,1.0,15.0
Miami,attr,38,1.736842105263158,1.501066477205471,1.0,1.0,8.0
Miami,aux,70,4.6571428571428575,3.4299859056021504,3.0,1.0,16.0
Miami,case,291,4.013745704467354,2.9231212753293705,3.0,1.0,24.0
Miami,cc,195,4.107692307692307,3.7380313893444006,3.0,1.0,27.0
Miami,ccomp,45,2.7777777777777777,2.42982312196596,2.0,1.0,12.0
Miami,compound,108,2.564814814814815,1.6591471074815674,2.0,1.0,11.0
Miami,compound:prt,1,2.0,,2.0,2.0,2.0
Miami,conj,94,2.4574468085106385,2.547040845183429,1.0,1.0,13.0
Miami,cop,74,3.810810810810811,3.2081901853049493,3.0,1.0,15.0
Miami,csubj,1,1.0,,1.0,1.0,1.0
Miami,dep,11,1.3636363636363635,0.674199862463242,1.0,1.0,3.0
Miami,det,283,4.703180212014134,4.19940351126052,3.0,1.0,34.0
Miami,discourse,202,3.287128712871287,3.992123173962308,1.0,1.0,29.0
Miami,expl,33,6.333333333333333,4.377975178854566,5.0,1.0,19.0
Miami,expl:pv,2,3.0,0.0,3.0,3.0,3.0
Miami,fixed,1,1.0,,1.0,1.0,1.0
Miami,flat,8,2.75,1.9086270308410553,2.5,1.0,6.0
Miami,iobj,52,4.115384615384615,3.1352133251612204,3.0,1.0,14.0
Miami,mark,323,5.309597523219814,4.229826159621099,5.0,1.0,42.0
Miami,nmod,109,1.614678899082569,1.7894146408953484,1.0,1.0,13.0
Miami,nmod:poss,5,3.8,3.8340579025361623,2.0,1.0,10.0
Miami,nsubj,667,4.869565217391305,3.5862709881533004,4.0,1.0,33.0
Miami,nsubj:pass,1,6.0,,6.0,6.0,6.0
Miami,nummod,38,4.421052631578948,3.538449644836979,3.0,1.0,18.0
Miami,obj,374,1.9064171122994653,2.2886388001286644,1.0,1.0,19.0
Miami,obl,236,1.7923728813559323,2.0903285613535463,1.0,1.0,15.0
Miami,parataxis,30,4.633333333333334,4.197563606413255,2.0,1.0,14.0
Miami,punct,1,1.0,,1.0,1.0,1.0
Miami,ref,1,5.0,,5.0,5.0,5.0
Miami,relcl,3,1.6666666666666667,1.1547005383792517,1.0,1.0,3.0
Miami,root,447,2.451901565995526,2.8024316329847543,1.0,1.0,23.0
Miami,vocative,26,2.0384615384615383,2.521599004295,1.0,1.0,10.0
Miami,xcomp,55,1.4181818181818182,0.916735534603105,1.0,1.0,6.0
Paraguay,acl,285,1.856140350877193,1.3362520561993756,1.0,1.0,9.0
Paraguay,acl:relcl,18,1.6111111111111112,1.685191170474659,1.0,1.0,8.0
Paraguay,advcl,104,1.8557692307692308,1.516371942683795,1.0,1.0,9.0
Paraguay,advmod,239,2.4769874476987446,1.9890703784507007,2.0,1.0,14.0
Paraguay,amod,166,2.1265060240963853,1.490054653246135,2.0,1.0,8.0
Paraguay,appos,163,1.8466257668711656,1.3769837411104702,1.0,1.0,9.0
Paraguay,aux,26,3.230769230769231,1.6323649667324351,3.0,1.0,7.0
Paraguay,case,187,2.5080213903743314,1.968485537505406,2.0,1.0,15.0
Paraguay,cc,258,2.503875968992248,2.0063092351884255,2.0,1.0,10.0
Paraguay,ccomp,47,2.25531914893617,1.9501180020749134,2.0,1.0,11.0
Paraguay,compound,169,2.3905325443786984,1.1501160709307259,2.0,1.0,8.0
Paraguay,conj,279,2.118279569892473,1.7558707018341428,2.0,1.0,15.0
Paraguay,cop,16,2.5625,2.1281838892977896,2.0,1.0,8.0
Paraguay,dep,1,2.0,,2.0,2.0,2.0
Paraguay,det,315,2.0476190476190474,1.5375198349771404,1.0,1.0,11.0
Paraguay,discourse,135,1.651851851851852,1.1864818086957543,1.0,1.0,7.0
Paraguay,expl,4,5.5,5.802298395176403,3.5,1.0,14.0
Paraguay,fixed,1,2.0,,2.0,2.0,2.0
Paraguay,flat,89,2.460674157303371,1.0341463297117985,2.0,1.0,7.0
Paraguay,iobj,23,3.0869565217391304,2.3724372484901926,2.0,1.0,9.0
Paraguay,mark,83,3.0602409638554215,2.9851232666069385,2.0,1.0,14.0
Paraguay,nmod,327,1.9938837920489296,1.5586565785998425,1.0,1.0,11.0
Paraguay,nmod:loco,1,1.0,,1.0,1.0,1.0
Paraguay,nmod:poss,2,2.0,0.0,2.0,2.0,2.0
Paraguay,nsubj,442,2.0452488687782804,1.5772583223666654,1.0,1.0,13.0
Paraguay,nsubj:pass,1,1.0,,1.0,1.0,1.0
Paraguay,nummod,16,2.9375,2.7195281453467866,2.0,1.0,12.0
Paraguay,obj,581,1.8795180722891567,1.471315541451818,1.0,1.0,17.0
Paraguay,obl,257,1.7743190661478598,1.3875992445314047,1.0,1.0,11.0
Paraguay,other,4,1.0,0.0,1.0,1.0,1.0
Paraguay,parataxis,190,2.5157894736842104,2.129973335624327,2.0,1.0,19.0
Paraguay,punct,100,1.35,1.4659433478105144,1.0,1.0,14.0
Paraguay,root,329,2.297872340425532,1.8633242247607296,2.0,1.0,11.0
Paraguay,vocative,52,2.0384615384615383,2.076587873067291,1.0,1.0,10.0
Paraguay,xcomp,39,1.794871794871795,1.5248725085532333,1.0,1.0,6.0
