corpus,upos,N,mean,sd,median,min,max
Miami,ADJ,217,1.9585253456221199,1.6479880102699518,1.0,1.0,12.0
Miami,ADP,329,4.161094224924012,3.0506206915805625,3.0,1.0,24.0
Miami,ADV,294,3.5714285714285716,3.836238202912855,2.0,1.0,31.0
Miami,AUX,169,4.414201183431953,3.3709242737392233,3.0,1.0,16.0
Miami,CCONJ,196,4.091836734693878,3.73503642846033,3.0,1.0,27.0
Miami,DET,280,4.7,4.227745868125001,3.0,1.0,34.0
Miami,INTJ,66,2.606060606060606,3.1665501144052066,1.0,1.0,14.0
Miami,NOUN,898,1.6024498886414253,1.6106787625350287,1.0,1.0,19.0
Miami,NUM,58,3.8620689655172415,3.1758312953009558,3.0,1.0,18.0
Miami,PART,80,5.3125,5.3334239839342485,4.0,1.0,35.0
Miami,PRON,733,5.242837653478854,3.6512545373179868,4.0,1.0,33.0
Miami,PROPN,293,2.2286689419795223,2.379765716631081,1.0,1.0,15.0
Miami,PUNCT,1,1.0,,1.0,1.0,1.0
Miami,SCONJ,290,5.268965517241379,4.519477528081592,5.0,1.0,42.0
Miami,VERB,308,3.4155844155844157,3.1913998821574387,2.0,1.0,23.0
Miami,X,2,3.0,2.8284271247461903,3.0,1.0,5.0
Miami,other,77,3.5584415584415585,4.64387969180236,2.0,1.0,29.0
Paraguay,ADJ,257,1.906614785992218,1.435812535182351,1.0,1.0,8.0
Paraguay,ADP,236,2.4364406779661016,1.9373667258700606,2.0,1.0,15.0
Paraguay,ADV,258,2.391472868217054,1.9159998459725507,2.0,1.0,14.0
Paraguay,AUX,38,3.210526315789474,1.8329992367678347,3.0,1.0,8.0
Paraguay,CCONJ,258,2.503875968992248,2.0063092351884255,2.0,1.0,10.0
Paraguay,DET,225,2.088888888888889,1.6826613463050748,1.0,1.0,11.0
Paraguay,INTJ,14,3.0,2.2188007849009166,2.5,1.0,9.0
Paraguay,NOUN,1625,1.9372307692307693,1.4999173906771088,1.0,1.0,17.0
Paraguay,NUM,18,2.8333333333333335,2.595244519818327,2.0,1.0,12.0
Paraguay,PART,44,1.6363636363636365,1.2956260781803088,1.0,1.0,7.0
Paraguay,PRON,299,2.3043478260869565,1.7040263686892316,2.0,1.0,14.0
Paraguay,PROPN,472,2.0360169491525424,1.3948553577079428,2.0,1.0,10.0
Paraguay,PUNCT,100,1.35,1.4659433478105144,1.0,1.0,14.0
Paraguay,SCONJ,79,3.1012658227848102,3.0909086569920214,2.0,1.0,14.0
Paraguay,SUFF,1,2.0,,2.0,2.0,2.0
Paraguay,VERB,984,2.186991869918699,1.779158617864873,2.0,1.0,19.0
Paraguay,other,41,1.5853658536585367,1.3596986753707154,1.0,1.0,6.0
